"","probability","ages","case","status","value","Gender.1","outc","gend"
"146",0.5,"20 to 29","meta","all",0.000228711356269238,"M","death","m"
"147",0.95,"20 to 29","meta","all",0.000294045967944037,"M","death","m"
"148",0.975,"20 to 29","meta","all",0.00031179830555929,"M","death","m"
"149",0.025,"30 to 39","meta","all",0.000502835616070824,"M","death","m"
"150",0.5,"30 to 39","meta","all",0.00067890392446986,"M","death","m"
"151",0.95,"30 to 39","meta","all",0.000871645206919192,"M","death","m"
"152",0.975,"30 to 39","meta","all",0.000921908268314438,"M","death","m"
"153",0.025,"20 to 29","best","all",4.24370947797769e-05,"M","death","m"
"154",0.5,"20 to 29","best","all",7.59924061918468e-05,"M","death","m"
"155",0.95,"20 to 29","best","all",0.000123530373885489,"M","death","m"
"156",0.975,"20 to 29","best","all",0.000134340411060923,"M","death","m"
"157",0.025,"30 to 39","best","all",4.30290797355521e-05,"M","death","m"
"158",0.5,"30 to 39","best","all",7.70524778450121e-05,"M","death","m"
"159",0.95,"30 to 39","best","all",0.000125253586167125,"M","death","m"
"160",0.975,"30 to 39","best","all",0.000136214420172843,"M","death","m"
"161",0.025,"20 to 29","meta","healthy",5.74994102277548e-05,"M","death","b"
"162",0.5,"20 to 29","meta","healthy",9.38841395254934e-05,"M","death","b"
"163",0.95,"20 to 29","meta","healthy",0.000140044085823984,"M","death","b"
"164",0.975,"20 to 29","meta","healthy",0.000152022480810955,"M","death","b"
"165",0.025,"30 to 39","meta","healthy",0.000144161985866368,"M","death","b"
"166",0.5,"30 to 39","meta","healthy",0.000234789786252095,"M","death","b"
"167",0.95,"30 to 39","meta","healthy",0.000333642070233703,"M","death","b"
"168",0.975,"30 to 39","meta","healthy",0.000357542657727441,"M","death","b"
"169",0.025,"20 to 29","best","healthy",1.5327223638415e-05,"M","death","b"
"170",0.5,"20 to 29","best","healthy",3.11612428186563e-05,"M","death","b"
"171",0.95,"20 to 29","best","healthy",5.54338414098269e-05,"M","death","b"
"172",0.975,"20 to 29","best","healthy",6.13118615843948e-05,"M","death","b"
"173",0.025,"30 to 39","best","healthy",3.91506229386087e-05,"M","death","b"
"174",0.5,"30 to 39","best","healthy",7.72761533912503e-05,"M","death","b"
"175",0.95,"30 to 39","best","healthy",0.00013484689313204,"M","death","b"
"176",0.975,"30 to 39","best","healthy",0.000148775899638989,"M","death","b"
"177",0.025,"20 to 29","meta","all",0.000127522120627465,"M","death","b"
"178",0.5,"20 to 29","meta","all",0.000172757863814046,"M","death","b"
"179",0.95,"20 to 29","meta","all",0.000222108574378551,"M","death","b"
"180",0.975,"20 to 29","meta","all",0.000235517860100711,"M","death","b"
"181",0.025,"30 to 39","meta","all",0.000374593048866399,"M","death","b"
"182",0.5,"30 to 39","meta","all",0.000505757115897512,"M","death","b"
"183",0.95,"30 to 39","meta","all",0.000649341902510848,"M","death","b"
"184",0.975,"30 to 39","meta","all",0.000686785935534062,"M","death","b"
"185",0.025,"20 to 29","best","all",3.20549970067863e-05,"M","death","b"
"186",0.5,"20 to 29","best","all",5.74011101763491e-05,"M","death","b"
"187",0.95,"20 to 29","best","all",9.33090680616887e-05,"M","death","b"
"188",0.975,"20 to 29","best","all",0.000101474464658699,"M","death","b"
"189",0.025,"30 to 39","best","all",3.20549970067863e-05,"M","death","b"
"190",0.5,"30 to 39","best","all",5.74011101763491e-05,"M","death","b"
"191",0.95,"30 to 39","best","all",9.33090680616887e-05,"M","death","b"
"192",0.975,"30 to 39","best","all",0.000101474464658699,"M","death","b"
"193",0.025,"20 to 29","meta","healthy",3.88762764072319e-05,"B","death","f"
"194",0.5,"20 to 29","meta","healthy",6.34765773073344e-05,"B","death","f"
"195",0.95,"20 to 29","meta","healthy",9.4686059702632e-05,"B","death","f"
"196",0.975,"20 to 29","meta","healthy",0.000102784845282935,"B","death","f"
"197",0.025,"30 to 39","meta","healthy",9.48078848846788e-05,"B","death","f"
"198",0.5,"30 to 39","meta","healthy",0.000154409103712826,"B","death","f"
"199",0.95,"30 to 39","meta","healthy",0.000219419140193617,"B","death","f"
"200",0.975,"30 to 39","meta","healthy",0.000235137320920421,"B","death","f"
"201",0.025,"20 to 29","best","healthy",1.03629825134251e-05,"B","death","f"
"202",0.5,"20 to 29","best","healthy",2.10686176469024e-05,"B","death","f"
"203",0.95,"20 to 29","best","healthy",3.74797120949051e-05,"B","death","f"
"204",0.975,"20 to 29","best","healthy",4.14539361109192e-05,"B","death","f"
"205",0.025,"30 to 39","best","healthy",2.57473406073065e-05,"B","death","f"
"206",0.5,"30 to 39","best","healthy",5.08205308841936e-05,"B","death","f"
"207",0.95,"30 to 39","best","healthy",8.86818299865111e-05,"B","death","f"
"208",0.975,"30 to 39","best","healthy",9.78422174321506e-05,"B","death","f"
"209",0.025,"20 to 29","meta","all",8.62197575577341e-05,"B","death","f"
"210",0.5,"20 to 29","meta","all",0.000116804371358854,"B","death","f"
"211",0.95,"20 to 29","meta","all",0.000150171180813065,"B","death","f"
"212",0.975,"20 to 29","meta","all",0.000159237414642132,"B","death","f"
"213",0.025,"30 to 39","meta","all",0.000246350481661974,"B","death","f"
"214",0.5,"30 to 39","meta","all",0.000332610307325163,"B","death","f"
"215",0.95,"30 to 39","meta","all",0.000427038598102504,"B","death","f"
"216",0.975,"30 to 39","meta","all",0.000451663602753687,"B","death","f"
"217",0.025,"20 to 29","best","all",2.16728992337958e-05,"B","death","f"
"218",0.5,"20 to 29","best","all",3.88098141608513e-05,"B","death","f"
"219",0.95,"20 to 29","best","all",6.30877622378888e-05,"B","death","f"
"220",0.975,"20 to 29","best","all",6.86085182564753e-05,"B","death","f"
"221",0.025,"30 to 39","best","all",2.10809142780206e-05,"B","death","f"
"222",0.5,"30 to 39","best","all",3.7749742507686e-05,"B","death","f"
"223",0.95,"30 to 39","best","all",6.13645499562521e-05,"B","death","f"
"224",0.975,"30 to 39","best","all",6.67345091445551e-05,"B","death","f"
"225",0.025,"20 to 29","meta","healthy",7.61225440482777e-05,"B","death","m"
"226",0.5,"20 to 29","meta","healthy",0.000124291701743652,"B","death","m"
"227",0.95,"20 to 29","meta","healthy",0.000185402111945336,"B","death","m"
"228",0.975,"20 to 29","meta","healthy",0.000201260116338975,"B","death","m"
"229",0.025,"30 to 39","meta","healthy",0.000193516086848057,"B","death","m"
"230",0.5,"30 to 39","meta","healthy",0.000315170468791365,"B","death","m"
"231",0.95,"30 to 39","meta","healthy",0.000447865000273789,"B","death","m"
"232",0.975,"30 to 39","meta","healthy",0.000479947994534462,"B","death","m"
"233",0.025,"20 to 29","best","healthy",2.02914647634049e-05,"B","death","m"
"234",0.5,"20 to 29","best","healthy",4.12538679904102e-05,"B","death","m"
"235",0.95,"20 to 29","best","healthy",7.33879707247487e-05,"B","death","m"
"236",0.975,"20 to 29","best","healthy",8.11697870578705e-05,"B","death","m"
"237",0.025,"30 to 39","best","healthy",5.25539052699109e-05,"B","death","m"
"238",0.5,"30 to 39","best","healthy",0.000103731775898307,"B","death","m"
"239",0.95,"30 to 39","best","healthy",0.00018101195627757,"B","death","m"
"240",0.975,"30 to 39","best","healthy",0.000199709581845828,"B","death","m"
"241",0.025,"20 to 29","meta","all",0.000168824483697197,"B","death","m"
"242",0.5,"20 to 29","meta","all",0.000228711356269238,"B","death","m"
"243",0.95,"20 to 29","meta","all",0.000294045967944037,"B","death","m"
"244",0.975,"20 to 29","meta","all",0.00031179830555929,"B","death","m"
"245",0.025,"30 to 39","meta","all",0.000502835616070824,"B","death","m"
"246",0.5,"30 to 39","meta","all",0.00067890392446986,"B","death","m"
"247",0.95,"30 to 39","meta","all",0.000871645206919192,"B","death","m"
"248",0.975,"30 to 39","meta","all",0.000921908268314438,"B","death","m"
"249",0.025,"20 to 29","best","all",4.24370947797769e-05,"B","death","m"
"250",0.5,"20 to 29","best","all",7.59924061918468e-05,"B","death","m"
"251",0.95,"20 to 29","best","all",0.000123530373885489,"B","death","m"
"252",0.975,"20 to 29","best","all",0.000134340411060923,"B","death","m"
"253",0.025,"30 to 39","best","all",4.30290797355521e-05,"B","death","m"
"254",0.5,"30 to 39","best","all",7.70524778450121e-05,"B","death","m"
"255",0.95,"30 to 39","best","all",0.000125253586167125,"B","death","m"
"256",0.975,"30 to 39","best","all",0.000136214420172843,"B","death","m"
"257",0.025,"20 to 29","meta","healthy",5.74994102277548e-05,"B","death","b"
"258",0.5,"20 to 29","meta","healthy",9.38841395254934e-05,"B","death","b"
"259",0.95,"20 to 29","meta","healthy",0.000140044085823984,"B","death","b"
"260",0.975,"20 to 29","meta","healthy",0.000152022480810955,"B","death","b"
"261",0.025,"30 to 39","meta","healthy",0.000144161985866368,"B","death","b"
"262",0.5,"30 to 39","meta","healthy",0.000234789786252095,"B","death","b"
"263",0.95,"30 to 39","meta","healthy",0.000333642070233703,"B","death","b"
"264",0.975,"30 to 39","meta","healthy",0.000357542657727441,"B","death","b"
"265",0.025,"20 to 29","best","healthy",1.5327223638415e-05,"B","death","b"
"266",0.5,"20 to 29","best","healthy",3.11612428186563e-05,"B","death","b"
"267",0.95,"20 to 29","best","healthy",5.54338414098269e-05,"B","death","b"
"268",0.975,"20 to 29","best","healthy",6.13118615843948e-05,"B","death","b"
"269",0.025,"30 to 39","best","healthy",3.91506229386087e-05,"B","death","b"
"270",0.5,"30 to 39","best","healthy",7.72761533912503e-05,"B","death","b"
"271",0.95,"30 to 39","best","healthy",0.00013484689313204,"B","death","b"
"272",0.975,"30 to 39","best","healthy",0.000148775899638989,"B","death","b"
"273",0.025,"20 to 29","meta","all",0.000127522120627465,"B","death","b"
"274",0.5,"20 to 29","meta","all",0.000172757863814046,"B","death","b"
"275",0.95,"20 to 29","meta","all",0.000222108574378551,"B","death","b"
"276",0.975,"20 to 29","meta","all",0.000235517860100711,"B","death","b"
"277",0.025,"30 to 39","meta","all",0.000374593048866399,"B","death","b"
"278",0.5,"30 to 39","meta","all",0.000505757115897512,"B","death","b"
"279",0.95,"30 to 39","meta","all",0.000649341902510848,"B","death","b"
"280",0.975,"30 to 39","meta","all",0.000686785935534062,"B","death","b"
"281",0.025,"20 to 29","best","all",3.20549970067863e-05,"B","death","b"
"282",0.5,"20 to 29","best","all",5.74011101763491e-05,"B","death","b"
"283",0.95,"20 to 29","best","all",9.33090680616887e-05,"B","death","b"
"284",0.975,"20 to 29","best","all",0.000101474464658699,"B","death","b"
"285",0.025,"30 to 39","best","all",3.20549970067863e-05,"B","death","b"
"286",0.5,"30 to 39","best","all",5.74011101763491e-05,"B","death","b"
"287",0.95,"30 to 39","best","all",9.33090680616887e-05,"B","death","b"
"288",0.975,"30 to 39","best","all",0.000101474464658699,"B","death","b"
"289",0.025,"20 to 29","meta","healthy",0.00045019841388528,"F","hosp","f"
