Denominazione,ageRange,tot2015,tot2016,tot2017,tot2018,tot2019
Ospedaletto Lodigiano,61-70,216,213,213,222,193
Ospedaletto Lodigiano,71-80,181,188,201,188,165
Ospedaletto Lodigiano,81+,97,93,106,118,116
Ossago Lodigiano,0-20,266,250,266,254,250
Ossago Lodigiano,21-40,316,304,292,284,299
Ossago Lodigiano,41-50,267,261,254,241,229
Ossago Lodigiano,51-60,203,210,216,233,241
Ossago Lodigiano,61-70,183,182,181,170,171
Ossago Lodigiano,71-80,131,130,130,141,140
Ossago Lodigiano,81+,87,91,91,93,103
Pieve Fissiraga,0-20,402,393,389,385,363
Pieve Fissiraga,21-40,432,416,415,402,417
Pieve Fissiraga,41-50,346,330,322,310,295
Pieve Fissiraga,51-60,252,274,284,293,288
Pieve Fissiraga,61-70,178,180,190,200,203
Pieve Fissiraga,71-80,114,126,132,128,134
Pieve Fissiraga,81+,55,56,57,62,69
Salerano sul Lambro,0-20,475,454,449,449,444
Salerano sul Lambro,21-40,606,596,572,558,552
Salerano sul Lambro,41-50,463,440,424,420,409
Salerano sul Lambro,51-60,414,416,450,459,477
Salerano sul Lambro,61-70,337,340,332,345,343
Salerano sul Lambro,71-80,235,235,233,231,244
Salerano sul Lambro,81+,132,146,163,172,175
San Fiorano,0-20,316,322,325,334,331
San Fiorano,21-40,424,401,382,366,348
San Fiorano,41-50,289,280,281,297,305
San Fiorano,51-60,268,272,287,273,265
San Fiorano,61-70,260,244,239,245,255
San Fiorano,71-80,178,188,183,199,204
San Fiorano,81+,110,115,133,127,131
San Martino in Strada,0-20,583,575,589,603,622
San Martino in Strada,21-40,827,811,799,831,824
San Martino in Strada,41-50,661,626,631,619,576
San Martino in Strada,51-60,547,543,560,574,610
San Martino in Strada,61-70,482,495,497,492,477
San Martino in Strada,71-80,353,375,378,380,388
San Martino in Strada,81+,209,216,227,245,258
San Rocco al Porto,0-20,583,584,567,573,544
San Rocco al Porto,21-40,811,783,767,761,719
San Rocco al Porto,41-50,576,583,578,566,529
San Rocco al Porto,51-60,528,556,561,558,571
San Rocco al Porto,61-70,458,455,474,473,464
San Rocco al Porto,71-80,321,314,313,311,320
San Rocco al Porto,81+,242,261,268,271,281
Sant'Angelo Lodigiano,0-20,2432,2436,2401,2423,2410
Sant'Angelo Lodigiano,21-40,2973,2900,2814,2828,2828
Sant'Angelo Lodigiano,41-50,2127,2101,2051,2050,2020
Sant'Angelo Lodigiano,51-60,1909,1942,1982,2094,2097
Sant'Angelo Lodigiano,61-70,1585,1583,1564,1537,1561
Sant'Angelo Lodigiano,71-80,1275,1299,1308,1326,1336
Sant'Angelo Lodigiano,81+,876,906,920,939,986
Santo Stefano Lodigiano,0-20,300,290,289,300,306
Santo Stefano Lodigiano,21-40,426,413,400,370,359
Santo Stefano Lodigiano,41-50,327,320,311,298,289
Santo Stefano Lodigiano,51-60,285,292,310,333,332
Santo Stefano Lodigiano,61-70,273,276,267,254,266
Santo Stefano Lodigiano,71-80,188,188,189,202,203
Santo Stefano Lodigiano,81+,145,146,150,152,154
Secugnago,0-20,338,334,345,333,329
Secugnago,21-40,478,457,435,412,418
Secugnago,41-50,345,338,323,308,288
Secugnago,51-60,333,337,332,331,331
Secugnago,61-70,245,250,253,262,258
Secugnago,71-80,179,189,193,200,204
Secugnago,81+,121,124,129,124,128
Senna Lodigiana,0-20,335,340,338,318,309
Senna Lodigiana,21-40,381,361,361,353,356
Senna Lodigiana,41-50,303,308,297,286,263
Senna Lodigiana,51-60,290,286,285,295,291
Senna Lodigiana,61-70,249,243,253,243,239
Senna Lodigiana,71-80,205,212,216,216,214
Senna Lodigiana,81+,159,160,167,166,174
Somaglia,0-20,719,717,723,722,726
Somaglia,21-40,889,857,848,800,795
Somaglia,41-50,710,704,684,661,660
Somaglia,51-60,508,516,546,585,606
Somaglia,61-70,436,440,440,437,438
Somaglia,71-80,316,324,331,339,342
Somaglia,81+,247,252,250,252,268
Sordio,0-20,672,674,692,698,708
Sordio,21-40,825,818,777,796,778
Sordio,41-50,644,638,655,651,638
Sordio,51-60,406,413,444,486,499
Sordio,61-70,395,395,372,349,344
Sordio,71-80,242,268,295,311,325
Sordio,81+,115,115,116,123,137
Tavazzano con Villavesco,0-20,1221,1223,1209,1149,1131
Tavazzano con Villavesco,21-40,1482,1424,1376,1338,1349
Tavazzano con Villavesco,41-50,1078,1064,1040,999,963
Tavazzano con Villavesco,51-60,912,907,921,947,968
Tavazzano con Villavesco,61-70,699,698,700,671,686
Tavazzano con Villavesco,71-80,483,514,537,555,585
Tavazzano con Villavesco,81+,289,300,324,352,352
Terranova dei Passerini,0-20,151,158,158,160,171
Terranova dei Passerini,21-40,224,215,205,206,197
Terranova dei Passerini,41-50,159,155,170,172,167
Terranova dei Passerini,51-60,124,127,134,140,146
Terranova dei Passerini,61-70,113,113,115,106,105
Terranova dei Passerini,71-80,78,75,76,80,87
Terranova dei Passerini,81+,49,54,56,54,54
Turano Lodigiano,0-20,279,280,273,263,267
Turano Lodigiano,21-40,359,355,333,337,333
Turano Lodigiano,41-50,250,250,254,247,236
Turano Lodigiano,51-60,216,204,218,235,235
Turano Lodigiano,61-70,199,205,207,203,205
Turano Lodigiano,71-80,150,151,147,154,149
Turano Lodigiano,81+,106,112,113,110,118
Valera Fratta,0-20,352,351,364,359,353
Valera Fratta,21-40,390,404,405,408,391
Valera Fratta,41-50,336,324,283,272,299
Valera Fratta,51-60,253,253,248,258,261
Valera Fratta,61-70,158,170,170,191,191
Valera Fratta,71-80,114,118,137,135,135
Valera Fratta,81+,72,65,70,61,78
Villanova del Sillaro,0-20,415,404,425,423,396
Villanova del Sillaro,21-40,458,469,457,443,438
Villanova del Sillaro,41-50,352,319,325,321,315
Villanova del Sillaro,51-60,271,275,286,283,291
Villanova del Sillaro,61-70,153,166,163,181,196
Villanova del Sillaro,71-80,120,111,118,124,124
Villanova del Sillaro,81+,76,86,85,94,90
Zelo Buon Persico,0-20,1467,1452,1450,1473,1484
Zelo Buon Persico,21-40,1866,1829,1798,1777,1776
Zelo Buon Persico,41-50,1261,1239,1238,1263,1274
Zelo Buon Persico,51-60,1042,1070,1080,1100,1120
Zelo Buon Persico,61-70,783,793,805,816,834
Zelo Buon Persico,71-80,517,536,577,587,591
Zelo Buon Persico,81+,309,321,339,357,366
