"","hypermean","hypersd","beta","theta_min","rr_healthy_25","rr_healthy_35","rr_healthy_30","metaanalysis_ifr_25","metaanalysis_ifr_30","metaanalysis_ifr_35","replications_25","replications_35","ifr_min_25","ifr_min_30","ifr_min_35","min_healthy_ifr_25","min_healthy_ifr_30","min_healthy_ifr_35","metaanalysis_healthy_ifr_25","metaanalysis_healthy_ifr_35"
"17",-8.91635166134801,0.504060989572444,1.11244290979365,-9.86648246686923,1.77780709044318,2.26705036229295,2.02242872636806,0.000134158874566886,0.000233959111995641,0.000407970045216662,0.000151861397786085,0.00115177123273679,5.18822230059051e-05,9.04827350124325e-05,0.000157797598685233,2.91832692561551e-05,4.47396409241694e-05,6.96048051290898e-05,7.54631226796615e-05,0.000179956322101302
"18",-8.7768320048656,0.769875352419414,1.12873835698331,-9.92884100368017,1.97452562362422,2.50973305144544,2.24212933753483,0.000154242231577168,0.000271178294143924,0.000476725127078053,0.000193834511937335,0.000622144794738631,4.87458861496781e-05,8.57085871341185e-05,0.000150694891264378,2.46873910201305e-05,3.82264241849461e-05,6.00441912248746e-05,7.81160951935675e-05,0.000189950531513099
"19",-8.69651093951491,0.488224158883284,1.11740528311732,-9.85023886406068,1.8851006397255,2.51824195227035,2.20167129599793,0.000167140113620639,0.000292191680107696,0.000510757038362148,0.000122985916133615,0.000409004491326608,5.2731814320576e-05,9.21928094032827e-05,0.000161179038096057,2.79729438361734e-05,4.18740116069395e-05,6.40045877842455e-05,8.86637615512011e-05,0.000202822861362336
"20",-8.75731703770254,0.495522605951925,1.11404143102997,-9.84532302291282,1.45700924493205,1.75229541835966,1.60465233164585,0.000157281347918173,0.000274496826885932,0.000479026447595868,0.000300780874526998,0.000212004299257139,5.29916599633282e-05,9.24914081075728e-05,0.000161429340001391,3.63701604143216e-05,5.76395311828741e-05,9.21245004181465e-05,0.000107948078205577,0.000273370826960381
"21",-8.73704865776778,0.571416292617776,1.10596813779835,-9.92269293716648,1.96683399175239,3.17226268448376,2.56954833811808,0.000160501194694226,0.000278987490160376,0.000484901132314899,0.000207042868377803,0.000473118661043059,4.90464875128345e-05,8.52609390405606e-05,0.000148211089281355,2.49367703214929e-05,3.31812940724848e-05,4.67209383404117e-05,8.16038340639132e-05,0.000152856550841977
"22",-8.81287938912469,0.741715879907506,1.11576331177961,-9.89630605511229,1.7525598008368,1.97686558007353,1.86471269045517,0.000148782033981305,0.000259888554451112,0.000453928841385705,0.00030599839569022,0.00191317867545639,5.03578312719747e-05,8.7970205621492e-05,0.00015367102739931,2.87338733023148e-05,4.7176278722069e-05,7.77346871473141e-05,8.48941268139701e-05,0.000229620489102158
"23",-8.86765070067394,0.596548081007434,1.12127667651664,-9.91369577120482,1.57559888193109,1.86765836378823,1.72162862285966,0.000140853309976878,0.000246719347521683,0.000432120428895888,0.000257820389335661,0.00111369758230798,4.9489736062365e-05,8.66924179878405e-05,0.000151857046490381,3.14101111836975e-05,5.03548888748392e-05,8.13087925686603e-05,8.93966805842395e-05,0.000231370167732071
"24",-8.80511386319395,0.676674647232395,1.12277268687644,-9.80687183237234,1.69323519623139,1.95567547684988,1.82445533654064,0.000149941728476982,0.000262833347153024,0.000460682273197062,0.00011717538029658,0.000383228062615451,5.50688188703334e-05,9.65372097377578e-05,0.000169227196648933,3.25228408864281e-05,5.2912892853164e-05,8.65313282557067e-05,8.85533969590904e-05,0.000235561716987478
"25",-8.72066438323401,0.714960554687562,1.14246867340632,-9.99073251402186,1.93349015110382,2.16543487353867,2.04946251232124,0.000163152118722313,0.000288816533165982,0.000511221773791134,7.80758158866793e-05,0.000729523619102091,4.5820529010453e-05,8.1120139313415e-05,0.000143610259173788,2.36983513902536e-05,3.95811774188235e-05,6.63193619575849e-05,8.43821824637537e-05,0.000236082728711077
"26",-8.76377389335432,0.695784887341268,1.12374903018246,-9.93524629838737,1.71409808101715,2.00273733333482,1.85841770717598,0.000156269234706855,0.000274057266088774,0.000480585423886397,0.000308945325344335,0.000315148023367542,4.84346672942626e-05,8.49492332200044e-05,0.000148987780256254,2.82566486892754e-05,4.57105164743031e-05,7.43920721786165e-05,9.11670320604549e-05,0.000239964280830657
